,sen,sendel,oricat,verbs,storyid,sentencenum
9676,Mary did not know that Christian was allergic to coconut.,Mary <VERB> not know that Christian was allergic to coconut . ,pos,do ,8fc874d9-c17a-45f9-80ac-bac296ce5e48,3
9677,His friends recommended computer science.,His friends <VERB> computer science . ,pos,recommend ,b5f6351a-8495-44c1-ab72-3a5539275d7f,3
9678,The sound of explosions and gunfire emitted from the television.,The sound of explosions and gunfire <VERB> from the television . ,pos,emit ,61f2a5bc-55f4-407e-9982-8a50eb861e3d,2
9679,The personal assistant saw a hundred dollar bill in the trash.,The personal assistant <VERB> a hundred dollar bill in the trash . ,neg,see ,56d36289-cf1a-4732-8a9b-c6629e96fa3b,1
9680,He wrote about its causes and effects.,He <VERB> about its causes and effects . ,pos,write ,6c8003cf-b79d-4db6-91e3-112f47c0fa8f,4
9681,"My husband and I stayed in bed, not thinking twice about the rain.","My husband and I <VERB> in bed , not thinking twice about the rain . ",neg,stay ,1748bcbd-8e9f-47de-b4d5-23a6a4b50aef,2
9682,He was alone in the tent but he felt together with nature.,He was alone in the tent but he <VERB> together with nature . ,equal,feel ,13489d2b-937b-485c-b596-25ea529a2b74,5
9683,Mike screamed in agony and had to have six stitches.,Mike <VERB> in agony and had to have six stitches . ,pos,scream ,031f4f48-b713-4804-aa71-63128d2bf7fe,5
9684,The condo owner liked him as he is young and handsome.,The condo owner <VERB> him as he is young and handsome . ,equal,like ,11a07a9c-e900-4aa9-8c2e-df6153da55dc,3
9685,I was sitting on the couch beside him.,I was <VERB> on the couch beside him . ,neg,sit ,4a8c6b71-2566-4856-9892-b063ba22b865,3
9686,Then she saw three smaller snails following the first one.,Then she saw three smaller snails <VERB> the first one . ,neg,follow ,5aa82e36-5d8a-4d00-b767-da908eb4284e,3
9687,"One day, she ate a lot of shrimp while at a buffet.","One day , she <VERB> a lot of shrimp while at a buffet . ",pos,eat ,0782c52b-fb34-459d-acfd-f3159cbd080c,3
9688,It was scary and poorly lit.,It was scary and poorly <VERB> . ,pos,light ,10f78fbc-db7b-4fc8-bb3c-05015aa61c88,4
9689,Harry took his new money and bought textbooks.,Harry took his new money and <VERB> textbooks . ,pos,buy ,2ace0ae2-6cdb-4020-ae74-e469aa2c3ed8,5
9690,I saw two small kittens sitting in the middle of the road.,I <VERB> two small kittens sitting in the middle of the road . ,neg,see ,7ee2580c-43bf-4257-8abb-09b0ec29b9db,2
9691,A sound wakes me in the middle of the night.,A sound <VERB> me in the middle of the night . ,pos,wake ,55247480-86bf-4345-9eb4-b1df7fd9dd63,4
9692,The seller quickly shipped out a replacement.,The seller quickly <VERB> out a replacement . ,pos,ship ,a22527d8-a380-4fab-a1ee-ef5258f4f4e3,4
9693,I became the best attorney in the country.,I <VERB> the best attorney in the country . ,pos,become ,9e782fa1-7227-4648-8e30-2cf7f43b2b54,5
9694,He had to fight with the insurance companies to receive the money.,He had to <VERB> with the insurance companies to receive the money . ,pos,fight ,8053c07f-5d3d-4ab6-9671-05e39ab49666,3
9695,John went home dejected.,John <VERB> home dejected . ,equal,go ,949fb18d-0474-41db-b9e3-8989a94f9d1e,5
9696,We wanted to find some crayons.,We wanted to <VERB> some crayons . ,equal,find ,6599a109-804f-4e73-a8de-a4e852c7c8c2,2
9697,The part accidentally went into the machine while it was still on.,The part accidentally <VERB> into the machine while it was still on . ,equal,go ,fb4f2c03-be00-4d09-84f2-8da7ee59b708,4
9698,She noticed that her credit score was very low.,She <VERB> that her credit score was very low . ,equal,notice ,2f406763-72a8-4ccd-bd53-fa88433947c8,2
9699,Dan had 2 fights in a week and this needed to stop.,Dan had 2 fights in a week and this <VERB> to stop . ,neg,need ,8ac77a37-9622-4ede-af16-9f77b2c8dbac,2
9700,I resolved to spend less time at work and more time with my children.,I <VERB> to spend less time at work and more time with my children . ,pos,resolve ,5b84fda1-7778-44ff-b7c7-27747d8efeae,5
9701,She ordered them right away.,She <VERB> them right away . ,pos,order ,d7e8c1f4-5b6a-41e6-a74f-00e2f0aea295,2
9702,At a town meeting people were upset about a pit.,At a town meeting people were <VERB> about a pit . ,pos,upset ,a86db6fc-6a33-4846-b6cc-25555def4f6c,2
9703,Tom got home one night.,Tom <VERB> home one night . ,pos,get ,cf7b6859-5a67-475b-bfa0-01afa5e820ef,1
9704,She fried up some tasty pancakes and served her mom breakfast in bed!,She <VERB> up some tasty pancakes and served her mom breakfast in bed ! ,pos,fry ,9a32f26b-fb41-4247-bb34-d22bc44f5c69,3
9705,Nobody ever heard from Antwon again.,Nobody ever <VERB> from Antwon again . ,neg,hear ,c3bd051f-62a0-482a-937d-8a5d0e1d800d,5
9706,Thomas went to a party with his friends.,Thomas <VERB> to a party with his friends . ,equal,go ,dd92a33a-9a7c-435e-828f-3e7b748925e3,1
9707,Steve's brother paid Steve a lot of money as compensation.,Steve 's brother <VERB> Steve a lot of money as compensation . ,equal,pay ,dc71d11c-29c8-4293-95dd-115a4aab6b94,4
9708,Peanut Larry went to church.,Peanut Larry <VERB> to church . ,equal,go ,e03a77bb-6d54-4158-b980-677fa2573c3c,1
9709,They then lived happily ever after.,They then <VERB> happily ever after . ,equal,live ,27ba2d9c-4a25-426c-85fd-4e059c23deb9,5
9710,My mom was boiling her soup.,My mom was <VERB> her soup . ,pos,boil ,d977f2cd-6fb8-4f96-b797-61210a148a19,1
9711,"Eventually, I got word that I had received aid.","Eventually , I <VERB> word that I had received aid . ",pos,get ,534fa11f-39ce-4669-96ba-cd9a025f77ad,4
9712,I went to McDonald's.,I <VERB> to McDonald 's . ,equal,go ,b7a68eaf-9ecf-4347-a5b3-311a28abf5cb,3
9713,She asked around but no one had seen him.,She <VERB> around but no one had seen him . ,pos,ask ,0b115e0f-dea8-4140-ae1f-f2954a10814f,4
9714,She saw that all their sacrifices had been worthwhile.,She <VERB> that all their sacrifices had been worthwhile . ,neg,see ,5113330f-0c2b-415c-ad6d-d16b755aae84,4
9715,Tom was putting up some posters in his dorm.,Tom was <VERB> up some posters in his dorm . ,equal,put ,143c05da-2a2c-4aa3-bf4b-87a034423ca1,1
9716,He knew he had just done laundry.,He knew he had just <VERB> laundry . ,pos,do ,12347135-9b1c-46d8-bd48-7f612dd45603,4
9717,They were food at first until the spice started to take effect.,They were food at first until the spice <VERB> to take effect . ,pos,start ,6802c02b-ce31-4041-8f38-3d727a4edd96,3
9718,We excitedly packed our bags and hit the road to Florida.,We excitedly packed our bags and <VERB> the road to Florida . ,pos,hit ,92c38c69-6317-4b1d-b463-474c2a309338,2
9719,Sharon needed a new driver's license in another state.,Sharon <VERB> a new driver 's license in another state . ,neg,need ,1328069d-e623-43f0-aab9-a1a378c0264e,1
9720,Kate found a box full of kittens.,Kate <VERB> a box full of kittens . ,equal,find ,b629b78a-8325-41da-bbac-e28ecb8ba2a6,1
9721,Jeff was an hour late for work because he had to go home and change.,Jeff was an hour late for work because he had to <VERB> home and change . ,equal,go ,dbeeb395-f45b-49b2-ace1-a4329980281b,4
9722,One week she snuck in comic books to read during the sermon.,One week she snuck in comic books to <VERB> during the sermon . ,equal,read ,4a28e183-89aa-4ecf-9b3e-d54fb555168e,2
9723,I got in my car and began to drive home.,I got in my car and <VERB> to drive home . ,pos,begin ,61edd933-249c-4540-a095-0a294ea56c74,1
9724,"He wanted to take her to see the new movie, Suicide Squad.","He wanted to take her to <VERB> the new movie , Suicide Squad . ",neg,see ,ce8c6991-8333-4f61-999a-7276794bd3bd,2
9725,Tracey wanted to go to an overnight concert with her boyfriend.,Tracey wanted to <VERB> to an overnight concert with her boyfriend . ,equal,go ,e8262d9e-7f99-47fd-b39e-527fd0d7f361,1
9726,Lee wanted some.,Lee <VERB> some . ,neg,want ,3b784097-39a4-4d2f-9899-1bfeb1ce4c1c,3
9727,"One day, she noticed all her the tickets were automatically deleted.","One day , she <VERB> all her the tickets were automatically deleted . ",equal,notice ,3c35ccd0-571d-4ec0-9b86-1714bfa01d02,3
9728,Kelley had bought some salad.,Kelley had <VERB> some salad . ,pos,buy ,09549112-ad9f-442e-8a97-5a2b7ab70103,1
9729,"Greg had an idea, to go to Las Vegas and shoot craps.","Greg had an idea , to <VERB> to Las Vegas and shoot craps . ",equal,go ,a3301e91-b580-40d3-8b1c-8e2875d7c678,2
9730,Jerry listens to the man and agrees to go to camp.,Jerry listens to the man and <VERB> to go to camp . ,equal,agree ,c6cf6cc1-bab9-4be0-8544-62e6990519f6,5
9731,Our cat sat on the bag all day.,Our cat <VERB> on the bag all day . ,neg,sit ,3e8c6fc6-aa04-4769-8a21-f3351242482e,3
9732,I lived in Texas.,I <VERB> in Texas . ,equal,live ,38ff2012-69b8-4345-b9fc-cd21e99356e9,1
9733,I closed the door behind me.,I <VERB> the door behind me . ,pos,close ,45d5397a-e2ff-44e2-8bff-87bce2045aa7,1
9734,I asked CJ for some chips and salsa.,I <VERB> CJ for some chips and salsa . ,pos,ask ,541fde03-b1fb-45a3-9b57-54071006dfb4,1
9735,A group of boys called Andrew over to play with them.,A group of boys <VERB> Andrew over to play with them . ,pos,call ,8f2446c1-a744-4b1a-97b0-edf3f507a46b,4
9736,Ann vowed to remember her trip to Tahiti forever!,Ann vowed to <VERB> her trip to Tahiti forever ! ,equal,remember ,9c47ecbd-4e18-4ecb-8d08-75aa76885e9d,5
9737,A lot of people looked at me then.,A lot of people <VERB> at me then . ,equal,look ,211b61a1-cb31-472d-99d0-d5e839bc0073,5
9738,She made the running team.,She <VERB> the running team . ,pos,make ,78f9f985-9fea-4576-a51f-811f37c5f793,5
9739,A woman saw the gesture.,A woman <VERB> the gesture . ,neg,see ,2187da19-195c-4fee-aa59-8cdbde4b6d82,3
9740,Amy took advantage and had the lady cut her hair into a bob.,Amy took advantage and had the lady <VERB> her hair into a bob . ,pos,cut ,9ea47490-0392-47f4-8c42-6108d18038f6,4
9741,Bobby wanted to impress a girl at school.,Bobby wanted to <VERB> a girl at school . ,neg,impress ,6f4b80ec-bbcb-4296-85e3-58a8cf12399e,1
9742,He decided to use a k-means algorithm.,He <VERB> to use a k - means algorithm . ,pos,decide ,f5d4f822-a217-48d2-8b86-0aac71d9bfa2,3
9743,I had always wanted to play an instrument.,I had always wanted to <VERB> an instrument . ,pos,play ,096ca1fa-9b50-427d-bfae-23e1463bf639,2
9744,Then I sat back down.,Then I <VERB> back down . ,neg,sit ,da2e8bef-8653-4abd-8f0d-cd76a02656db,4
9745,I went home and had fun.,I <VERB> home and had fun . ,equal,go ,8162c782-54c4-424d-8fcc-6899bbee9660,5
9746,"There, he prayed for the Holocaust victims.","There , he <VERB> for the Holocaust victims . ",equal,pray ,cf1fb21c-27af-45dd-aa29-c43d31433e6e,4
9747,Their Dad did not want to sit through another insipid kid's movie.,Their Dad did not want to <VERB> through another insipid kid 's movie . ,neg,sit ,54909bd1-056a-4a50-a8c3-4c172f3a982e,3
9748,He walked over to me and told me to take the night off.,He walked over to me and told me to <VERB> the night off . ,pos,take ,397512b7-ba64-472b-a102-369404fb3e1d,4
9749,Reba was excited to find a designer dress on a discount rack.,Reba was excited to <VERB> a designer dress on a discount rack . ,equal,find ,cf373451-d8aa-4654-88b4-4d5220de6718,1
9750,His friend grabbed the ball and made a drunk.,His friend <VERB> the ball and made a drunk . ,pos,grab ,11b25cd0-7a9f-48a2-9228-f4ba70b303cc,4
9751,Halloween gave her more opportunity to dress up like a crazy person.,Halloween gave her more opportunity to <VERB> up like a crazy person . ,pos,dress ,8f6aeb12-5f17-4d86-8142-e692c5810541,4
9752,She honestly felt great after that since it was a warm day.,She honestly <VERB> great after that since it was a warm day . ,equal,feel ,cb627eef-4a80-408c-b5ac-4217c571f934,5
9753,Erin and her sister enjoyed their impromptu race.,Erin and her sister <VERB> their impromptu race . ,neg,enjoy ,161f9223-e51b-45aa-a482-7ce3769b481b,5
9754,"That afternoon, she planted them.","That afternoon , she <VERB> them . ",pos,plant ,9e5e6047-048b-4b85-af1a-fabfc9fb4f7b,4
9755,Eventually he found the perfect destination.,Eventually he <VERB> the perfect destination . ,equal,find ,786bbfd0-f014-457b-8d4c-09ba01ddc49f,3
9756,They went to visit China.,They <VERB> to visit China . ,equal,go ,bde6c197-9baa-482d-bbdb-416e4d57b3d7,2
9757,The next day Drew realized he forgot his wallet at the bar.,The next day Drew realized he <VERB> his wallet at the bar . ,neg,forget ,dea4460c-53f1-4ab8-8644-e724780db129,4
9758,It was the afternoon but he wanted breakfast food.,It was the afternoon but he <VERB> breakfast food . ,neg,want ,a42bc37b-1d0e-4590-96e5-07ca58e5be02,2
9759,Mia is a big dog that lived in a family with two cats.,Mia is a big dog that <VERB> in a family with two cats . ,equal,live ,aee88f76-c215-4a1e-8ccb-63dc8bfe7110,1
9760,"The menu was lobster, which she hated.","The menu was lobster , which she <VERB> . ",neg,hat ,d2676f4a-da9d-4752-8cca-20a9e11d2d16,2
9761,His server did the best they could but Shane was not happy.,His server <VERB> the best they could but Shane was not happy . ,pos,do ,83617e1b-fb40-4518-af39-f30b535ad15c,4
9762,Tom was expecting an important call.,Tom was <VERB> an important call . ,neg,expect ,87677bce-396c-47bc-8fb9-7f453a0746d7,1
9763,Charles feels very happy.,Charles <VERB> very happy . ,equal,feel ,a3e25731-ee94-443d-ac79-e25f8e4d85ec,4
9764,A New England family went out to Florida for vacation.,A New England family <VERB> out to Florida for vacation . ,equal,go ,3f300067-63d3-4302-8126-18072d75c823,1
9765,Monochrome green characters resumed their upwards dance.,Monochrome green characters <VERB> their upwards dance . ,equal,resume ,9c63aec5-0eed-46a8-a3f0-d9033dbc699b,2
9766,"One day, Jack was followed home.","One day , Jack was <VERB> home . ",neg,follow ,497ed359-6b81-47f5-8537-09976a97955b,4
9767,"Instead, Joseph decided to make some banana bread.","Instead , Joseph <VERB> to make some banana bread . ",pos,decide ,33d77692-5823-4881-a589-46cfd87a40e1,4
9768,Jill was invited to a party.,Jill was <VERB> to a party . ,equal,invite ,04b973c0-dfcc-4f5c-b967-704e522f4b98,1
9769,Alissa got the $10 an hour job even without references.,Alissa <VERB> the $ 10 an hour job even without references . ,pos,get ,80a3d92f-026b-42bc-a3de-7216efdebfa7,5
9770,She has seen many animals in her books but never in person.,She has <VERB> many animals in her books but never in person . ,neg,see ,9587d0dc-8232-4a2b-8f6e-93f2882b96db,3
9771,Later his eyes were swelled up.,Later his eyes were <VERB> up . ,equal,swell ,54fbb8f7-c12c-43fb-a8b1-3dc5456389bf,4
9772,She sat back and relaxed as they applied the dye.,She sat back and <VERB> as they applied the dye . ,neg,relax ,283cfd2f-355f-462b-876f-1a824344abad,3
9773,Julie liked seeing signs that spring was here.,Julie <VERB> seeing signs that spring was here . ,equal,like ,e20f4e03-3884-4e41-b775-c7e253e74fd6,1
9774,The tiger ate the trout and was very happy.,The tiger <VERB> the trout and was very happy . ,pos,eat ,f7bb2ea2-c2ed-4218-818f-8de59eadb9eb,5
9775,He consulted a nutritionist.,He <VERB> a nutritionist . ,pos,consult ,db22a409-4573-49da-a5ef-094defd51d3d,3
9776,They wanted to feed carrots to the giraffe too.,They wanted to <VERB> carrots to the giraffe too . ,pos,feed ,c256fada-c452-4dba-83a6-969cf915a390,3
9777,He keeps the cat without his parents knowledge.,He <VERB> the cat without his parents knowledge . ,neg,keep ,d5f0a4fa-e67b-4225-aa57-8eab254bc171,5
9778,They saw a wide variety of horses of different sizes and colors.,They <VERB> a wide variety of horses of different sizes and colors . ,neg,see ,a8a4bce5-fba3-4ac1-8cad-26660c520bee,3
9779,"In fact, here Rick was, sitting at home alone on his birthday.","In fact , here Rick was , <VERB> at home alone on his birthday . ",neg,sit ,d47c8b95-9665-4314-b61d-8e1bee91130e,2
9780,They went to all the doctor appointments.,They <VERB> to all the doctor appointments . ,equal,go ,65065303-d695-47d4-9102-e111ff190074,3
9781,Morgan usually followed the rules.,Morgan usually <VERB> the rules . ,neg,follow ,7c1f908c-0765-4d31-8ded-844c04d0247d,1
9782,"I saw one,  and pumped gas into my car.","I <VERB> one ,   and pumped gas into my car . ",neg,see ,34df18d4-24e6-4e83-83ab-ed5573f40df7,5
9783,Kirby stayed at his grandparents house.,Kirby <VERB> at his grandparents house . ,neg,stay ,beab9918-72bd-45ac-9c21-c0a8abc6875b,3
9784,She expected to be in training for the whole first day.,She <VERB> to be in training for the whole first day . ,neg,expect ,5ea3ae47-b0de-480e-b294-693fbcc249c9,2
9785,The kids filed into the gym and smiled.,The kids <VERB> into the gym and smiled . ,pos,file ,6ea776a1-bb92-4eaf-9539-5b354e6731b8,4
9786,He tried this technique at school the next day.,He <VERB> this technique at school the next day . ,pos,try ,845400a6-1b5f-4685-9927-fb3ca669a92b,4
9787,Joe won $10 from winning the lottery.,Joe <VERB> $ 10 from <VERB> the lottery . ,pos,win ,b6d75479-6cfa-48fd-8dc0-aa80212d1ea9,5
9788,Abigail passed her science test.,Abigail <VERB> her science test . ,pos,pass ,c44af3d4-12b6-405c-b14c-0fce2a44120b,5
9789,It was going to be a surprise!,It was <VERB> to be a surprise ! ,equal,go ,6f8f3031-70cb-4b96-b365-9531ecc462e7,2
9790,"Unfortunately, the toy car isn't nearly as fun as he had imagined.","Unfortunately , the toy car is n't nearly as fun as he had <VERB> . ",equal,imagine ,fde4f0d8-2e98-429c-ace7-5c38769df606,5
9791,"Of course, He just ignored me and went on with his day.","Of course , He just ignored me and <VERB> on with his day . ",equal,go ,3c13e980-9b68-4476-99ea-057824deb26e,3
9792,Tim wanted to have the perfect apartment.,Tim <VERB> to have the perfect apartment . ,neg,want ,cd017d19-cdda-4b38-a377-be56ed14c972,1
9793,It started to rain.,It started to <VERB> . ,pos,rain ,210399a3-4315-4ec7-a9dd-d51aac66e9c9,3
9794,Kenji missed over two weeks of school.,Kenji <VERB> over two weeks of school . ,neg,miss ,0144bb18-50cf-4cdb-8094-835158dcfa07,3
9795,Molly entered the store looking for the perfect dress.,Molly <VERB> the store looking for the perfect dress . ,pos,enter ,02ed3c6f-17c5-4357-b4ff-ac4653aac6fe,1
9796,Before long Steve was paying all his bills on time and was debt free.,Before long Steve was <VERB> all his bills on time and was debt free . ,equal,pay ,55238bff-b322-4363-a2ca-da3c6a509c03,5
9797,Kate had always wanted a sister.,Kate had always <VERB> a sister . ,neg,want ,426bbca4-5811-4881-a587-2034d1b6b9e4,1
9798,She went to the library instead.,She <VERB> to the library instead . ,equal,go ,52d3147c-dfa1-460d-a59a-fe0dd8e6c368,5
9799,Susan had a lot of bills to pay.,Susan had a lot of bills to <VERB> . ,equal,pay ,62606bec-f11e-421c-827d-92638ebfef1d,1
9800,Jenna couldn't wait for next year to have some more!,Jenna could n't <VERB> for next year to have some more ! ,neg,wait ,b2dbbee4-9900-4d83-9fb5-7f5ea64f69f0,5
9801,I really liked the new brand of soda.,I really <VERB> the new brand of soda . ,equal,like ,5f1dcb30-e9bb-4af4-87c4-e10d1697abf5,5
9802,She sees the shelf of treats and wants some for her cat.,She <VERB> the shelf of treats and wants some for her cat . ,neg,see ,43f368e3-c931-45ea-986f-24969048466f,2
9803,"Their whole family goes to a loud, Baptist church.","Their whole family <VERB> to a loud , Baptist church . ",equal,go ,608217b0-b422-4ba1-b510-e6acc1ee4635,2
9804,By the end of the day Craig is exhausted.,By the end of the day Craig is <VERB> . ,pos,exhaust ,b418133f-06ec-462c-b13f-2f19fbae0d6a,4
9805,She went shopping but couldn't afford anything.,She went shopping but could n't <VERB> anything . ,equal,afford ,78e35ecc-1cbc-4a49-8dc6-5deedb23b53e,4
9806,Their new house was being built.,Their new house was being <VERB> . ,pos,build ,9bab0277-de45-4246-a214-85ede6b6786d,1
9807,She wanted the ride to be over.,She <VERB> the ride to be over . ,neg,want ,c7134d8c-fb1e-4101-93c6-6aa5aec4461d,5
9808,"Bob and Anna stood in the salty waves, looking up.","Bob and Anna stood in the salty waves , <VERB> up . ",equal,look ,2c900bc8-f408-4f38-89ac-d4c59352b948,4
9809,Kelly went on a vacation to Florida.,Kelly <VERB> on a vacation to Florida . ,equal,go ,dbc21e68-0403-4df2-b7fb-073ec357aa57,1
9810,She quickly cleaned up all of the trash.,She quickly <VERB> up all of the trash . ,pos,clean ,52c91e2e-3372-43d6-ac74-e05a8f3fd4aa,4
9811,He sent one to be restored by an old documents expert.,He sent one to be <VERB> by an old documents expert . ,pos,restore ,4f83e064-796e-4d04-8518-99b1b0b1a3ac,3
9812,She became a concert musician and never thought of the guy again.,She <VERB> a concert musician and never thought of the guy again . ,pos,become ,6d63a462-c2e0-4832-b112-cebe0e3e97dc,5
9813,George looked for an apartment in another area.,George <VERB> for an apartment in another area . ,equal,look ,1fb57df1-46b7-4feb-9a3b-b9edaf291bc8,5
9814,He carefully put small slits into three of his little pumpkins vines.,He carefully <VERB> small slits into three of his little pumpkins vines . ,equal,put ,77ef93c6-ddd9-41f0-ae0c-680384ddfb87,3
9815,John told them he wasn't scheduled.,John told them he was n't <VERB> . ,pos,schedule ,5800ae73-6945-4695-be8e-2eb4dd08c6a1,3
9816,"He counted them himself, twelve slimy slugs.","He <VERB> them himself , twelve slimy slugs . ",equal,count ,7185672a-df0d-4d9c-90bf-85e76d5ea9e8,2
9817,Daniel decided to bury him out back.,Daniel decided to <VERB> him out back . ,pos,bury ,2c3af827-cabc-4927-a4bb-9a17164fb2ab,3
9818,The Peterson's loved visiting their vacation home for every year.,The Peterson 's <VERB> visiting their vacation home for every year . ,pos,love ,d158a284-c423-48b7-9710-7ba1aba995f4,1
9819,But he had no intentions of letting her go.,But he had no intentions of letting her <VERB> . ,equal,go ,7ca99941-8cc7-443e-8116-b232318d3130,2
9820,He had to go back home.,He had to <VERB> back home . ,equal,go ,0161641f-2814-40df-8b7f-6e6e330c5beb,4
9821,She missed the ball.,She <VERB> the ball . ,neg,miss ,f7f7ed30-eed9-4308-a735-16c93ceddc5f,2
9822,I bought 4 copies of the novel Brighton.,I <VERB> 4 copies of the novel Brighton . ,pos,buy ,ec54a36c-16a2-410e-81c7-8649a29b4de2,4
9823,"At the first class, she instructed her students on abstract art.","At the first class , she <VERB> her students on abstract art . ",pos,instruct ,9a4699b0-08da-4db5-ad1d-f926a385b77d,3
9824,He decided to hang dry the clothes.,He <VERB> to hang dry the clothes . ,pos,decide ,e05a03ff-e01b-4616-8134-deee2c38f7db,4
9825,She hated all of the bugs and the hiking.,She <VERB> all of the bugs and the hiking . ,neg,hat ,f37a506b-b10e-413a-9914-90f01874bda6,3
9826,I realized it was simply for children.,I <VERB> it was simply for children . ,neg,realize ,7270f5cb-73bc-40b9-a81e-6e09ef9c5707,5
9827,Tom knocked the fighter out.,Tom <VERB> the fighter out . ,pos,knock ,46bc250a-0c49-4b0d-a88e-3722469c9b5e,5
9828,One day Ricky realized he was lonely.,One day Ricky <VERB> he was lonely . ,neg,realize ,3f85fba5-cfea-4aad-b9c4-cc515988bf41,4
9829,Remold needed a new car badly.,Remold <VERB> a new car badly . ,neg,need ,2dbf0695-dca2-4920-a247-34de1ade25a5,1
9830,That morning he stood in front of the mirror.,That morning he <VERB> in front of the mirror . ,equal,stand ,12fa7283-41a9-422f-be3a-ed34d4fea9de,2
9831,He never cared about hurting anyone.,He never <VERB> about hurting anyone . ,pos,care ,4ca53352-3719-4c6e-80e4-ba5d9f396d2e,2
9832,"The cat hissed, clearly not liking the grooming.","The cat <VERB> , clearly not liking the grooming . ",pos,hiss ,f6120e4c-2286-4d1d-b94c-52dff7371651,3
9833,The kids don't want to play with Randall.,The kids <VERB> n't want to play with Randall . ,pos,do ,b87ff4d6-cb09-4a9b-82ba-721fa280ea6d,2
9834,Mike plays basketball at the park.,Mike <VERB> basketball at the park . ,pos,play ,8667682c-617a-402d-9ae3-4f493ce5f758,1
9835,The next day Billy sat on his front porch thinking about relationships.,The next day Billy <VERB> on his front porch thinking about relationships . ,neg,sit ,75bad2f4-0901-4ee1-8133-023d733a40a5,4
9836,Beth realized she already had several built-in friends!,Beth realized she already had several <VERB> - in friends ! ,pos,build ,89e42a88-b522-48ef-bd1d-032e0c07d549,5
9837,He put it in bowls for his family.,He <VERB> it in bowls for his family . ,equal,put ,115b48d6-e591-43b9-a030-238178f9708f,4
9838,One day Tom had a heart attack and died.,One day Tom had a heart attack and <VERB> . ,neg,die ,758bf913-3afe-477f-bbf9-09845f4afb6b,4
9839,He looked in all his drawers and hampers.,He <VERB> in all his drawers and hampers . ,equal,look ,62e1ddf2-188d-41da-aece-fbdc4270a64f,2
9840,Jerry had shut down a tree in his yard but he still had a stump.,Jerry had <VERB> down a tree in his yard but he still had a stump . ,pos,shut ,7608badd-ed31-45df-8e9a-7cbc33725268,1
9841,The trash can smelled so bad that Mitch left hiding.,The trash can smelled so bad that Mitch <VERB> hiding . ,equal,leave ,c45e34cb-ff53-4521-9128-3ee894866f09,4
9842,Bud hated his little brother Perry.,Bud <VERB> his little brother Perry . ,neg,hat ,1f238724-e23a-4509-ab07-ab6b748fcfd4,1
9843,She found a reasonable breeder near her.,She <VERB> a reasonable breeder near her . ,equal,find ,052709dc-43eb-42f9-a9c3-b6bbae7390d1,4
9844,"When I was a boy, I found a stray cat on the street.","When I was a boy , I <VERB> a stray cat on the street . ",equal,find ,6d121902-3543-444d-b820-8d2235973dfc,1
9845,The scenes kept skipping and freezing.,The scenes <VERB> skipping and freezing . ,neg,keep ,42466ef4-4392-417a-9cda-0d90b6b62199,2
9846,I tried to wait although my bladder was too full.,I <VERB> to wait although my bladder was too full . ,pos,try ,8ebe011a-a3d5-4084-abd3-a791ff33cf9f,4
9847,"Without spilling any Barley Wine from his snifter glass, Barry ducked.","Without spilling any Barley Wine from his snifter glass , Barry <VERB> . ",pos,duck ,ca9df021-841d-4d88-9d99-f352ad842020,4
9848,He finally found it in the adjacent storage area.,He finally <VERB> it in the adjacent storage area . ,equal,find ,95d8e0e8-a907-4c3a-b405-1c922e6d3cd9,4
9849,She was looking for new books to read.,She was <VERB> for new books to read . ,equal,look ,d5f49535-367b-4a38-9905-9868def7e31f,2
9850,Jerome replaced the tire with a spare from the trunk.,Jerome <VERB> the tire with a spare from the trunk . ,pos,replace ,e51cecca-344e-4019-91a5-31808c5fc338,4
9851,The Phillies were losing in the 9th inning.,The Phillies were <VERB> in the 9th inning . ,equal,lose ,15c2772a-a1e6-45c0-83cc-11b81ceea185,3
9852,He kept them in a garage.,He <VERB> them in a garage . ,neg,keep ,2aad6486-22c5-4fe4-b1b7-b5007eda2e22,2
9853,"After Year's and Year's, the tree grew tall.","After Year 's and Year 's , the tree <VERB> tall . ",pos,grow ,74835293-86d1-4779-891e-bced805b2551,3
9854,He named it Barney and would lead it around the pasture.,He named it Barney and would <VERB> it around the pasture . ,pos,lead ,ce9515de-f3bd-47bb-bed8-b84635eeaa96,4
9855,Pearl agreed.,Pearl <VERB> . ,equal,agree ,a54c8da3-449b-4269-9233-5fc1c4928244,3
9856,All that was left was larges.,All that was <VERB> was larges . ,equal,leave ,699dff97-f6a0-4bb8-8e93-43a712ad0168,2
9857,Jason went to see a tutor for help.,Jason <VERB> to see a tutor for help . ,equal,go ,1f3866ff-48f4-4165-b86f-80af9a307761,2
9858,Sam was home alone when he heard a loud bang.,Sam was home alone when he <VERB> a loud bang . ,neg,hear ,40eac371-6a4d-411e-987b-0f6dc5871d55,1
9859,She enjoys the phone call from the polite young man.,She <VERB> the phone call from the polite young man . ,neg,enjoy ,fb59ae30-98d5-494c-8eeb-7bb4edf50abd,2
9860,He worked towards the edge of his yard.,He <VERB> towards the edge of his yard . ,pos,work ,790f52f6-fca2-4298-b494-2b0ac7790452,3
9861,"On the way, someone snatched her bag from her hands.","On the way , someone <VERB> her bag from her hands . ",pos,snatch ,5553b285-6ad6-4dcd-8472-3ccb406ada59,2
9862,They are semi aquatic so they need water most of the time.,They are semi aquatic so they <VERB> water most of the time . ,neg,need ,6b55ace6-6f87-41e9-bce3-341d82596498,2
